Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
12/04/2023,12.6,19.3,7,4.2,3.8,N,41,11:58,13.3,88,7,N,13,1004.8,18.6,64,4,N,20,1004.3
13/04/2023,11.2,22.8,4.4,2,7.8,E,28,13:57,15.3,89,4,SSW,4,1015.7,22.2,52,3,E,11,1015.2
14/04/2023,10.8,25.4,0,2.8,7.5,NNW,20,14:57,14.1,93,7,NE,9,1015.5,24.5,44,5,N,11,1010
15/04/2023,13.8,21.2,0,6,0.6,NNW,54,9:50,20.6,51,6,N,20,1001.1,18.5,69,7,N,15,999.5
16/04/2023,12.1,17.2,38.4,3,4.3,SSW,35,12:53,12.7,93,7,WSW,9,1004.3,16.4,68,5,SSW,9,1009.5
17/04/2023,8.7,20.7,2,3,4.4,N,24,11:00,14.8,66,2,N,7,1022.7,19.6,57,7,WSW,2,1021.9
18/04/2023,13.4,22.8,0,2.6,9.3,NNW,35,14:45,16.8,70,3,NNE,7,1023.6,22.3,48,3,NNW,17,1019.1
19/04/2023,14.4,17.5,1.2,3.4,6,SW,28,11:32,14.8,66,6,WSW,9,1022,15.8,53,5,SSW,9,1022.1
20/04/2023,7.8,18.5,0,4,4.9,SSW,17,12:47,12.4,72,2,NNE,7,1026.8,17.5,58,7,SW,4,1025.5
21/04/2023,11.3,19,0,2.8,0.5,SSW,13,10:48,14.8,78,7,NE,6,1030.5,18.6,64,7,SSE,2,1029.2
22/04/2023,14.6,19.2,0,0,4.8,SSW,22,16:09,15.2,84,7,SW,6,1031.9,18.8,64,2,SSW,11,1029.7
23/04/2023,14.8,19,0,1.6,3,SSW,26,15:45,16.7,79,7,SSE,7,1034.4,17.8,71,5,SSW,13,1032.4
24/04/2023,11,24.9,0,2.6,10,N,39,10:34,14.3,87,1,NE,9,1032.5,24.4,47,1,N,15,1028.4
25/04/2023,12.7,25.9,0,4,8.8,NNW,26,10:33,16.6,73,1,NNE,7,1029.3,25.5,38,7,NNW,6,1025.4
26/04/2023,12,24.6,0,4,8.7,N,35,10:15,16,72,1,NNE,9,1025.9,24.4,43,6,N,19,1021
27/04/2023,16,22.6,0,6,5.2,NNW,54,13:52,19.3,51,7,NNW,24,1017.1,22.3,50,1,N,26,1012.4
28/04/2023,16.3,21.6,1.2,6,4.8,N,41,2:17,18.9,59,6,NNW,15,1010.7,15.3,75,7,SSW,11,1011
29/04/2023,9,15.9,5.2,2,9,S,20,12:44,11.5,70,2,NW,6,1014.9,15.7,55,4,SSW,9,1013.5
30/04/2023,5,16.3,0.2,1.8,10.2,SSW,24,13:14,8.8,80,1,NNE,6,1018.4,15.7,53,1,SSW,11,1015.8
1/05/2023,7.3,18.1,0,2.2,3.5,NNW,17,20:10,13.3,72,7,SSW,6,1016.7,17.1,54,7, ,Calm,1013.9
2/05/2023,11.3,20.3,0,2.2,3.6,W,35,14:15,13.9,72,7,N,9,1015.4,18.4,57,6,SW,7,1012.7
3/05/2023,11.2,15.7,3,4.4,4.2,W,44,6:13,13.2,61,1,NW,13,1011.4,15.2,61,4,WSW,13,1013.3
4/05/2023,8.1,15.6,2,1.8,0.5,NW,19,23:58,10.7,87,7,NNE,6,1022.3,15.3,58,7,SW,2,1020.5
5/05/2023,10.4,17.9,0,1.6,5.2,NNW,44,13:11,12.4,62,3,N,15,1017.2,16.6,52,7,NNW,20,1013.5
6/05/2023,9.8,13.5,14.8,3.8,0.7,SSW,31,16:13,10,95,7, ,Calm,1020.3,12.1,64,7,SSW,11,1019.8
7/05/2023,6.6,13.4,22.6,0.6,4.5,SSW,39,14:00,7.4,88,6,W,11,1024.4,11.2,62,4,SSW,15,1024.4
8/05/2023,7.4,15.2,5.8,1.6,2.5,W,28,12:53,10,82,6,W,6,1026.4,14.7,65,7,WSW,9,1023.9
9/05/2023,10,16.5,1,1.8,3.6,SW,33,16:20,11.3,91,7,SW,4,1027.3,15.5,68,5,S,13,1026.8
10/05/2023,11.2,15.3,1.8,0.8,0.3,SSW,22,10:54,11.5,95,7,W,6,1030.1,13.9,76,8,S,13,1028.9
11/05/2023,6.8,18.4,0.2,2.2,9.3,N,39,11:43,7.7,100,1,NE,9,1028.6,17.9,53,1,N,19,1024.8
12/05/2023,7.7,18.4,0,2.8,5.2,N,24,1:22,12,77,7,NE,4,1029,16.2,64,7,S,7,1028.7
13/05/2023,9.3,16.8,0,1.6,6.4,S,19,15:13,10.7,100,8, ,Calm,1032.8,16.4,73,1,SSW,9,1029.6
14/05/2023,7,20.7,0,1.8,9.5,NNW,30,12:11,8.2,100,1,NNE,7,1029.9,20.4,46,1,NNW,15,1025.2
15/05/2023,8.2,22.1,0,3.8,9.5,N,33,12:55,15.6,64,1,N,15,1024.4,21.3,41,1,N,19,1020.4
16/05/2023,10.5,13.7,4,3.4,0.7,SSW,39,11:09,12.1,100,7,S,9,1022.1,13.5,62,7,S,15,1024.7
17/05/2023,4.7,14.8,2.6,1.6,9.2,SE,26,11:04,8.4,81,1,NNE,6,1028.9,14.6,45,3,SE,9,1026.1
18/05/2023,5.8,13.7,0,1.8,2,WSW,22,12:39,7.7,85,6,NE,2,1026,13.5,60,3,SSW,9,1023.3
19/05/2023,5.8,14.6,0,2,3.1,S,22,13:49,11.3,81,7,N,2,1020.5,14.2,75,7,SSW,9,1017.6
20/05/2023,8.7,15,2.2,0.4,2.1,NW,30,23:49,9.5,86,7,SW,7,1017.3,14.2,57,7,SW,11,1014
21/05/2023,9.2,14.9,1.8,1.8,2.7,S,39,11:23,11.5,96,7,WSW,9,1019.2,13.6,60,6,S,17,1023
22/05/2023,7.7,16.4,0.4,2,7.9,W,22,11:45,11.4,72,4,NE,4,1028.6,16,52,5,WSW,9,1026.6
23/05/2023,10.2,16.8,0,2.2,7.3,N,28,10:50,11.2,71,6,N,9,1029.2,16.2,52,7,NNW,13,1025.8
24/05/2023,9.6,15.9,0,2.4,8,NNW,46,14:24,10.9,72,1,N,15,1026.4,15.6,55,7,NNW,26,1021.6
25/05/2023,10.8,15,0,5.2,0.3,N,52,10:43,12.6,55,7,N,22,1013.1,12.7,75,7,N,13,1010.4
26/05/2023,7.6,14.4,2.8,0.2,4.7,W,30,12:55,10,70,1,NW,9,1019.1,13.2,63,7,W,11,1018.2
27/05/2023,9.8,15.8,0.6,2.4,2.5,N,31,11:58,11.5,68,7,N,13,1018.2,14.6,46,7,WNW,11,1015.7
28/05/2023,10.9,16.5,6.8,2.8,1.5,NNE,30,0:36,11.4,92,7,N,15,1011.5,13.7,80,7,SSW,7,1010.4
29/05/2023,10,17,5.4,1,5.7,WSW,33,11:31,12.8,72,4,NNW,13,1016.5,16.4,62,7,NW,9,1016.6
