date_time,date_only,time_only,total_demand,price_category,rrp,demand_daily_average,demand_max_cat_average,rrp_max_cat_average,price_cat_daily_max,price_cat_daily_max_n,min_temp,max_temp,rainfall,evaporation,sunshine,max_wind_dir,max_wind_speed,max_wind_time,9am_temp,9am_rela_humi,9am_cloud,9am_wind_dir,9am_wind_speed,9am_msl_press,3pm_temp,3pm_rela_humi,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_msl_press,month
2023-03-01 11:00:00,2023-03-01,11:00:00,4206.63,LOW,-38.0,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 11:30:00,2023-03-01,11:30:00,4154.69,LOW,-19.99,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 12:00:00,2023-03-01,12:00:00,3975.24,LOW,-38.7,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 12:30:00,2023-03-01,12:30:00,3875.87,LOW,-44.0,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 13:00:00,2023-03-01,13:00:00,3826.25,LOW,-38.0,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 13:30:00,2023-03-01,13:30:00,3837.22,LOW,-38.0,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 14:00:00,2023-03-01,14:00:00,3774.23,LOW,-44.0,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 14:30:00,2023-03-01,14:30:00,3711.87,LOW,-50.01,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 15:00:00,2023-03-01,15:00:00,3804.9,LOW,-44.0,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 15:30:00,2023-03-01,15:30:00,3896.1,LOW,-38.0,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 16:00:00,2023-03-01,16:00:00,4109.85,LOW,-38.0,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 16:30:00,2023-03-01,16:30:00,4367.77,LOW,-38.0,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 17:00:00,2023-03-01,17:00:00,4785.68,MEDIUM,25.24,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 17:30:00,2023-03-01,17:30:00,5098.83,MEDIUM,28.54,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
